Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,C_100n_50V_0603,C14663
"C2, C3, C4",C_0603,3,C_1n5_50V_0603,C1595
"D1, D2, D3, D4",D_SMB_Standard,4,D_TVS-5.8V-58A_P6SMB6.8CA_SMB-DO214AA,C78395
"D5, D6",D_SOD-123,2,D_40V-1A_B5819W_SOD123,C8598
"J1, J3","Conn_PinHeaderStraight_1x04_2,54mm",2,"Conn_01x04_PinHeaderStraight_2,54mm",
Q1,SOT-23W,1,NFET_30V_5.7A_AO3400A_SOT23W,C20917
Q2,SOT-23,1,PFET_-20V_3A_Si2319CDS_SOT23,C10487
"R1, R2",R_0402,2,R_10k_1%_0402,C25744
"R3, R4",R_0402,2,R_100R_1%_0402,C25076
