Designator,Mid X,Mid Y,Rotation,Layer
C1,11.398,1.778,270.0,top
C2,9.62,1.778,270.0,top
C3,19.812,10.16,270.0,top
C4,29.432,6.604,90.0,top
D1,25.876,4.074,270.0,top
D2,21.304,4.064,90.0,top
D3,6.318,4.92884,270.0,top
D4,11.144,7.098,270.0,top
D5,29.432,2.683,270.0,top
D6,23.114,9.144,0.0,top
J1,2.0,9.906,0.0,top
J3,32.48,9.916,0.0,top
Q1,16.986,7.112,180.0,top
Q2,16.732,3.556,90.0,top
R1,14.192,3.556,270.0,top
R2,14.192,5.611,90.0,top
R3,14.192,7.62,270.0,top
R4,14.677,1.778,180.0,top
